step,score
9404,-172.0846552302696
19053,-128.57969913068055
30222,-75.81173003667384
51976,-8.928694817949951
94985,74.23886117061764
141011,121.28859061778647
187231,117.65996382316709
230269,128.7000720325903
274841,104.9487296213595
318653,128.36304507635546
360147,104.29941134479972
406261,131.39075286006016
448666,121.53392154345356
490015,114.7834018249961
528578,104.32970737894773
566360,114.33570085496702
605921,108.68772049938008
642930,111.745822389815
679732,101.54857368793533
715604,104.10752768980255
754936,117.14827706245394
796351,122.32591924625261
834544,128.40712552424827
878071,149.13237316897536
921012,153.56518515118148
958875,120.49803772081219
992830,107.25760380278312
1023373,93.36567973565951
