step,score
9429,-196.54339720641568
19340,-156.6518412272582
32722,-118.89638310216178
47934,-70.113801807743
80040,-67.35281046822637
121986,-30.93994951588596
171806,67.48770629603037
214649,79.04384904104985
253657,67.35908569168416
300468,78.73907543791898
347793,90.43261790661795
393941,76.91061748674309
438548,85.19841568514701
479548,68.12597014670513
523957,66.73204392695949
569676,65.01373760606532
609715,61.587659078013886
647778,57.84966563095253
683199,51.12311686590839
723227,61.573916360819524
769089,96.19683507148387
812336,76.55848105734698
857266,81.56959918746054
894318,49.86992447034468
933778,72.67584424379893
968783,41.15528864479585
1008106,71.09285126021321
