step,score
8942,-197.33597302850416
18448,-157.24758475007934
29265,-123.46114097234735
47808,-70.55946097818614
81999,4.121458840633381
119654,37.38108259693189
157116,57.46030307760083
180952,85.41833108373376
208639,112.00534846704878
233630,131.2119317784992
258871,140.13508343895722
284344,136.39262439051438
309294,153.07733585064256
340211,167.770567538182
367202,148.7976548074192
391070,156.26983923693302
414745,144.1921626149028
436064,186.50327936267212
457442,189.06345715772252
479863,174.59414672629438
502210,187.63769068421453
525583,200.0908046447483
547559,195.7009451776756
568409,178.80120670501847
589260,175.69013892317977
609046,172.20195115891627
629644,189.13786648599864
650860,167.51936528039056
671331,169.3864145683388
691189,175.83883274660587
712217,187.93862696838775
734143,155.16161015261932
756012,151.72898216720932
776286,86.38736869389206
798167,95.08815327932265
821833,178.85239039726767
845731,167.41878265084182
871173,153.76728266975707
893920,161.1495793662877
916035,140.0117699407987
936681,108.10899170251898
957517,132.74054932749445
978471,138.21793595704443
998573,166.0613091914759
1022109,166.85174880123967
